;;;;;;;;Расход блюд
;;;;;;Наименование Ресторана: MESTO
;;;;;;Дата: 04.03.2026 - 05.03.2026
;Код;;;Блюдо;;;Кол-во;Сумма;Скидка;;Оплачено
;170Фахитас с говядиной;;;;;;;9,00;7 740,00;-344,00;;7 396,00
;217Эспрессо двойной;;;;;;;2,00;460,00;;;460,00
;218Американо;;;;;;;18,00;3 420,00;-190,00;;3 230,00
;219Капучино;;;;;;;9,00;2 340,00;-130,00;;2 210,00
;220Латте;;;;;;;8,00;2 080,00;-26,00;;2 054,00
;221Сенча;;;;;;;1,00;320,00;;;320,00
;222Зеленый с жасмином;;;;;;;2,00;640,00;-32,00;;608,00
;225Женьшеневый Улун;;;;;;;1,00;320,00;-32,00;;288,00
;226ТеГуаньИнь;;;;;;;1,00;320,00;;;320,00
;229Спелая вишня;;;;;;;6,00;1 920,00;-64,00;;1 856,00
;230Ассам;;;;;;;5,00;1 600,00;-64,00;;1 536,00
;232Эрл Грей;;;;;;;6,00;1 920,00;;;1 920,00
;233Черный с Чабрецом;;;;;;;3,00;960,00;;;960,00
;234Пуэр;;;;;;;2,00;640,00;-32,00;;608,00
;235Да Хуан Пао;;;;;;;2,00;640,00;-32,00;;608,00
;284Апельсин 20гр.;;;;;;;4,00;120,00;-3,00;;117,00
;285Лайм 20гр.;;;;;;;5,00;200,00;;;200,00
;286Лимон 20гр.;;;;;;;9,00;315,00;-3,50;;311,50
;289Мята 10гр.;;;;;;;2,00;150,00;-7,50;;142,50
;290Сливки 50мл;;;;;;;1,00;40,00;-4,00;;36,00
;291Молоко 50мл;;;;;;;1,00;30,00;-3,00;;27,00
;292Сироп 40мл;;;;;;;1,00;50,00;;;50,00
;499Red Bull 250мл;;;;;;;2,00;720,00;;;720,00
;500Сок Rich 250мл;;;;;;;17,00;4 590,00;-135,00;;4 455,00
;528СЭТ УБИЙЦА;;;;;;;1,00;1 600,00;;;1 600,00
;545Май Тай;;;;;;;6,00;3 120,00;-156,00;;2 964,00
;549Пляж Лонг Айлэнда;;;;;;;5,00;2 450,00;;;2 450,00
;550Ящерица Лонг Айлэнда;;;;;;;2,00;980,00;-49,00;;931,00
;552Глинтвейн;;;;;;;4,00;1 400,00;-35,00;;1 365,00
;553Глинтвейн б/а;;;;;;;6,00;1 860,00;-31,00;;1 829,00
;558Джин-Тоник;;;;;;;1,00;380,00;;;380,00
;561Безалкогольный Мохито;;;;;;;19,00;7 410,00;-156,00;;7 254,00
;568Смузи клубнично-банановый;;;;;;;2,00;740,00;-37,00;;703,00
;569Смузи ежевичный;;;;;;;1,00;370,00;-37,00;;333,00
;835Клаб сэндвич;;;;;;;3,00;1 650,00;;;1 650,00
;840Лосось на гриле;;;;;;;3,00;3 570,00;-238,00;;3 332,00
;842МясоМикс;;;;;;;8,00;5 200,00;;;5 200,00
;;;;;;;Расход блюд;;;;;;;;2
;Код;;;Блюдо;;;Кол-во;Сумма;Скидка;;Оплачено
;845Мясная сковородочка;;;;;;;18,00;13 500,00;-375,00;;13 125,00
;852Ребра глазированые;;;;;;;2,00;1 780,00;-178,00;;1 602,00
;861Франческа;;;;;;;1,00;480,00;;;480,00
;976Картофель фри;;;;;;;10,00;3 500,00;-87,50;;3 412,50
;979Сырные палочки;;;;;;;7,00;3 850,00;-275,00;;3 575,00
;985Гренки к пиву;;;;;;;9,00;2 610,00;-29,00;;2 581,00
;996Огурец свежий 50гр;;;;;;;3,00;255,00;-25,50;;229,50
;1004Лук красный 10гр.;;;;;;;1,00;25,00;-2,50;;22,50
;1009Сливки 40гр;;;;;;;1,00;65,00;-6,50;;58,50
;1012Хлебная корзина 80гр;;;;;;;5,00;350,00;-14,00;;336,00
;1014Масло оливковое 30гр.;;;;;;;1,00;50,00;-5,00;;45,00
;1016Бекон 40гр;;;;;;;1,00;120,00;-12,00;;108,00
;1021Томаты 30 гр;;;;;;;4,00;240,00;-24,00;;216,00
;1023Халапеньо 10 гр;;;;;;;1,00;30,00;-3,00;;27,00
;1046Эспрессо двойной БЛ;;;;;;;1,00;100,00;;;100,00
;1048Американо БЛ;;;;;;;2,00;200,00;;;200,00
;1050Капучино БЛ;;;;;;;16,00;1 600,00;;;1 600,00
;1051Латте БЛ;;;;;;;3,00;300,00;;;300,00
;1052Морс БЛ;;;;;;;20,00;1 600,00;;;1 600,00
;1053Зеленый с жасмином БЛ;;;;;;;1,00;120,00;;;120,00
;1054Японская липа БЛ;;;;;;;1,00;120,00;;;120,00
;1059Сладкий апельсин БЛ;;;;;;;2,00;240,00;;;240,00
;1060Милый фрукт БЛ;;;;;;;1,00;120,00;;;120,00
;1061Спелая вишня БЛ;;;;;;;4,00;480,00;;;480,00
;1065Черный с Чабрецом БЛ;;;;;;;2,00;240,00;;;240,00
;1066Эрл Грей БЛ;;;;;;;1,00;120,00;;;120,00
;1067Ассам БЛ;;;;;;;3,00;360,00;;;360,00
;1068Паста Карбонара;;;;;;;8,00;5 200,00;-195,00;;5 005,00
;1074Салат Цезарь с креветками;;;;;;;4,00;2 760,00;-138,00;;2 622,00
;1077Салат Мясной;;;;;;;10,00;5 900,00;-236,00;;5 664,00
;1080Салат Греческий;;;;;;;12,00;5 880,00;-220,50;;5 659,50
;1081Салат Цезарь с курицей;;;;;;;11,00;6 490,00;;;6 490,00
;1082Соус Барбекю 40гр;;;;;;;1,00;100,00;-10,00;;90,00
;1086Соус Ранч 40гр;;;;;;;5,00;500,00;-20,00;;480,00
;1098Борщ с пампушками;;;;;;;16,00;6 880,00;-129,00;;6 751,00
;1100Апельсиновый фреш 200мл;;;;;;;1,00;330,00;-33,00;;297,00
;1102Грейпфрутовый фреш 200мл;;;;;;;2,00;660,00;;;660,00
;1125Спайси Сяке;;;;;;;2,00;380,00;;;380,00
;1126Спайси Эби;;;;;;;2,00;380,00;;;380,00
;1130Ролл Черная Мамба;;;;;;;1,00;450,00;-45,00;;405,00
;;;;;;;Расход блюд;;;;;;;;3
;Код;;;Блюдо;;;Кол-во;Сумма;Скидка;;Оплачено
;1209Ролл Канада;;;;;;;3,00;1 770,00;-118,00;;1 652,00
;1241Суши Унаги;;;;;;;2,00;380,00;;;380,00
;1242Суши Сяке;;;;;;;2,00;380,00;;;380,00
;1244Сяке Маки;;;;;;;2,00;640,00;;;640,00
;1248Эби Маки;;;;;;;1,00;320,00;;;320,00
;1278Борщ с пампушками БЛ;;;;;;;59,00;10 030,00;;;10 030,00
;1324Бургер Свино-говяжий;;;;;;;5,00;3 600,00;-72,00;;3 528,00
;1332Салат с курицей фри;;;;;;;14,00;7 840,00;-336,00;;7 504,00
;1353Местное ежевичное 125мл;;;;;;;6,00;2 340,00;;;2 340,00
;1354Местное, п/сл  белое 125мл;;;;;;;1,00;290,00;;;290,00
;1411Баллантайнс 40мл;;;;;;;2,00;1 020,00;;;1 020,00
;1488Егермастер 40мл;;;;;;;2,00;980,00;-98,00;;882,00
;1648Том Коллинз;;;;;;;2,00;780,00;;;780,00
;1684Маргарита;;;;;;;1,00;410,00;;;410,00
;1689Космополитен;;;;;;;3,00;1 140,00;-114,00;;1 026,00
;1693Текила Санрайз;;;;;;;1,00;460,00;;;460,00
;1695Брауни;;;;;;;13,00;6 760,00;-286,00;;6 474,00
;1698Лонг Айленд Айс ти;;;;;;;5,00;2 350,00;;;2 350,00
;1700Голубые Гаваи;;;;;;;4,00;1 960,00;;;1 960,00
;1706Пинья Колада (б/а);;;;;;;3,00;1 170,00;;;1 170,00
;1708Айриш Кофе;;;;;;;2,00;800,00;;;800,00
;1790Картофельные дольки со специями;;;;;;;7,00;1 330,00;-38,00;;1 292,00
;1793Стейк Нью-Йорк (порц 1 кг);;;;;;;2,43;16 767,00;;;16 767,00
;1796Стейк Фленк 1 кг;;;;;;;1,56;9 204,00;-525,10;;8 678,90
;1813Стейк Мачете1 кг;;;;;;;1,11;7 437,00;-582,90;;6 854,10
