;;;;;;;;;;1.1
;;;;Выручка станций по дням
;;;;Наименование Ресторана: MESTO
;;;;Дата: 01.02.2026 - 28.02.2026
;Дата;;Код;Валюта;;burger;Касса Место;;Итого
;01.02.2026;;1Рубли;;;;28 933.80;197 432.40;;226 366.20
;01.02.2026;;4VISA;;;;78 422.00;326 500.00;;404 922.00
;01.02.2026;;17Кальян;;;;;4 760.00;;4 760.00
;01.02.2026;;99VISA Альфабанк;;;;;65 305.00;;65 305.00
;02.02.2026;;1Рубли;;;;8 450.00;110 031.31;;118 481.31
;02.02.2026;;4VISA;;;;29 616.00;156 115.30;;185 731.30
;02.02.2026;;10ПДС оплата;;;;;580.00;;580.00
;02.02.2026;;17Кальян;;;;;8 100.00;;8 100.00
;02.02.2026;;99VISA Альфабанк;;;;;35 510.00;;35 510.00
;02.02.2026;;101Locards;;;;;1 000.00;;1 000.00
;03.02.2026;;1Рубли;;;;40 418.20;101 411.50;;141 829.70
;03.02.2026;;4VISA;;;;44 272.01;186 565.50;;230 837.51
;03.02.2026;;10ПДС оплата;;;;;3 840.00;;3 840.00
;03.02.2026;;17Кальян;;;;;3 400.00;;3 400.00
;03.02.2026;;44ЯндексОплата;;;;898.00;;;898.00
;03.02.2026;;99VISA Альфабанк;;;;;110 141.50;;110 141.50
;04.02.2026;;1Рубли;;;;19 499.10;106 153.10;;125 652.20
;04.02.2026;;4VISA;;;;35 810.00;173 231.50;;209 041.50
;04.02.2026;;10ПДС оплата;;;;;8 100.00;;8 100.00
;04.02.2026;;17Кальян;;;;;3 400.00;;3 400.00
;04.02.2026;;44ЯндексОплата;;;;31 295.00;27 530.00;;58 825.00
;04.02.2026;;59Ю касса;;;;10 914.00;3 140.00;;14 054.00
;04.02.2026;;99VISA Альфабанк;;;;748.00;52 300.00;;53 048.00
;05.02.2026;;1Рубли;;;;16 592.00;151 135.80;;167 727.80
;05.02.2026;;4VISA;;;;54 153.00;285 859.50;;340 012.50
;05.02.2026;;17Кальян;;;;;1 700.00;;1 700.00
;05.02.2026;;44ЯндексОплата;;;;20 296.00;29 380.00;;49 676.00
;05.02.2026;;59Ю касса;;;;5 198.00;11 320.00;;16 518.00
;05.02.2026;;98Платежные карты;;;;;630.00;;630.00
;05.02.2026;;99VISA Альфабанксертификат;;;;;19 630.00;;19 630.00
;06.02.2026;;1Рубли;;;;29 141.90;240 563.60;;269 705.50
;06.02.2026;;4VISA;;;;71 049.00;331 478.00;;402 527.00
;06.02.2026;;10ПДС оплата;;;;1 180.80;2 055.00;;3 235.80
;06.02.2026;;17Кальян;;;;;8 500.00;;8 500.00
;06.02.2026;;44ЯндексОплата;;;;16 325.00;29 470.00;;45 795.00
;06.02.2026;;59Ю касса;;;;7 960.00;13 315.00;;21 275.00
;06.02.2026;;67На ланч;;;;;4 330.00;;4 330.00
;06.02.2026;;99VISA Альфабанк;;;;2 134.00;90 714.80;;92 848.80
;07.02.2026;;1Рубли;;;;32 784.60;487 492.22;;520 276.82
;07.02.2026;;4VISA;;;;116 010.00;698 277.10;;814 287.10
;07.02.2026;;10ПДС оплата;;;;;3 326.00;;3 326.00
;07.02.2026;;17Кальян;;;;;11 900.00;;11 900.00
;07.02.2026;;44ЯндексОплата;;;;25 226.00;37 750.00;;62 976.00
;07.02.2026;;59Ю касса;;;;14 444.00;;;14 444.00
;07.02.2026;;101Locards;;;;;2 776.00;;2 776.00
;08.02.2026;;1Рубли;;;;34 606.70;263 600.80;;298 207.50
;08.02.2026;;4VISA;;;;24 322.00;318 449.00;;342 771.00
;08.02.2026;;10ПДС оплата;;;;529.00;;;529.00
;08.02.2026;;17Кальян;;;;;14 400.00;;14 400.00
;08.02.2026;;44ЯндексОплата;;;;22 393.00;44 970.00;;67 363.00
;08.02.2026;;59Ю касса;;;;11 364.00;12 880.00;;24 244.00
;08.02.2026;;99VISA Альфабанк;;;;78 722.00;13 732.00;;92 454.00
;08.02.2026;;101Locards;;;;;1 000.00;;1 000.00
